Library;FY11;FY10;FY09;FY08;FY07;FY06
Hilo;26209;23377;18304;25740;21164;22100
Honokaa;3638;3459;2464;2808;4472;4940
Kailua-Kona;9345;8864;8909;9464;10816;9776
Keaau;5462;5002;6834;7592;6188;6500
Kealakekua;3127;2788;3074;3900;4524;4524
Laupahoehoe;1618;1750;2512;2808;6240;6240
Mountain View;4206;3252;4343;5512;3380;3588
Kihei;9907;7128;6298;7332;9568;8788
Lahaina;6032;5240;5655;5512;5460;3900
Lanai;3253;3103;3050;3484;3484;4212
Makawao;5044;5170;5475;6344;6604;1352
Molokai;8022;9219;8208;7800;9308;10244
