Library;FY11;FY10;FY09;FY08;FY07;FY06
Hilo;26209;23377;18304;25740;21164;22100
Honokaa;3638;3459;2464;2808;4472;4940
Kailua-Kona;9345;8864;8909;9464;10816;9776
Keaau;5462;5002;6834;7592;6188;6500
Kealakekua;3127;2788;3074;3900;4524;4524
Laupahoehoe;1618;1750;2512;2808;6240;6240
Mountain View;4206;3252;4343;5512;3380;3588
Naalehu;3014;3112;2637;2080;2860;2704
North Kohala;6258;;;;;
Pahala;1335;747;5275;7852;4836;7332
Pahoa;5899;1993;7597;10348;7020;6136
Thelma Parker;5542;3484;6416;6708;6032;7020
Hanapepe;5171;4481;4619;6552;5460;7904
Kapaa;8662;7428;9302;10192;10036;8996
Koloa;7529;7737;8348;9360;11440;10764
Lihue;13657;13393;15030;16952;15808;13468
Princeville;7756;6405;7791;8840;7020;7644
Waimea;4262;4538;4860;4472;7904;7540
Hana;4379;3834;4238;4108;5824;12584
Kahului;5141;5889;9510;9360;9204;12584
Kihei;9907;7128;6298;7332;9568;8788
Lahaina;6032;5240;5655;5512;5460;3900
Lanai;3253;3103;3050;3484;3484;4212
Makawao;5044;5170;5475;6344;6604;1352
Molokai;8022;9219;8208;7800;9308;10244
Wailuku;9459;9373;8609;8788;6084;7228
Aiea;8910;8223;8036;9048;3640;3900
Aina Haina;5018;5070;5673;5824;4576;4108
Ewa Beach;4237;3377;3826;4212;4056;3068
Hawaii Kai;5338;5158;4706;4732;3744;4212
HSL;74321;67935;68665;67080;52624;41548
Kahuku;5968;4951;7568;11128;6812;8268
Kailua;11315;10676;11170;13208;11284;9672
Kaimuki;15669;15811;15904;15496;10816;12116
Kalihi;12037;12051;12517;14924;11388;8580
Kaneohe;12729;13634;14198;16692;12636;8996
Kapolei;33996;34050;36708;43628;42848;39728
LBPH;854;780;853;1196;676;156
Liliha;12795;11148;10460;13364;12428;11180
Manoa;2509;2057;7949;8112;6292;6032
McCully;12808;11704;12444;11544;11284;10192
Mililani;9575;7956;8392;9984;7176;6136
Pearl City;17708;17401;16416;17264;17732;5356
Salt Lake;8807;8254;8453;10244;6968;6552
Wahiawa;9968;9913;10969;11284;9880;8736
Waialua;6481;6655;7346;9464;6916;4004
Waianae;10873;11244;10581;12272;7696;6448
Waikiki;6856;5632;6252;7176;5720;6084
Waimanalo;7290;5276;6317;8008;8788;6032
Waipahu;14326;12634;13150;16016;12116;12376
Bond;;3563;4023;5148;4420;3848
Holualoa;;;452;364;728;1040
